Kategori,Baslik,Sikayet_Metni,Link
Kargo,Eksik Gönderilen Ürünler İçin Çözüm Bekliyorum,"13.12.2025 tarihinde Epttavm internet sitesi üzerinden Türen Yapı Malzemeleri İnşaat Nakliyat Sanayi ve Ticaret Limited Şirketi mağazasından PTT-5M9V8TM1C-131225 sipariş kodu ile 3 adet 1"" Stop Vana Tepesi satın aldım. 17.12.2025 tarihinde kargo elime ulaştığında paketten yalnızca 1 adet ürün çıktı, kalan 2 adet ürün tarafıma gönderilmedi.Eksik gönderimle ilgili olarak Epttavm üzerinden mağazaya mesaj yazdım ancak şu ana kadar herhangi bir geri dönüş alamadım. Bu siparişte ödediğim ücret karşılığında eksik kalan 2 adet Stop Vana Tepesi’nin de en kısa sürede tarafıma kargolanmasını talep ediyorum.Yaşadığım bu eksik gönderim sorununun hızlıca incelenerek ürünlerimin gönderilmesini ve süreçle ilgili bilgilendirme yapılmasını rica ediyorum.",https://www.sikayetvar.com/ptt-kargo/eksik-gonderilen-urunler-icin-cozum-bekliyorum-5
Kargo,Teslim Edilmeden Teslim Edilmiş Gösterilen Kargomun Akıbeti Hakkında Mağduriyet,"Gaziantep Şehitkamil ilçesi GATEM acente şubesine gelen kargom, tarafıma hiç teslim edilmediği halde sistemde teslim edilmiş görünüyor ve bu şekilde mesaj aldım. İçerisinde bakliyat kesesi bulunan ve 189 TL değerindeki gönderim, 13 Aralık tarihinde teslim edilmiş gibi işlenmiş olmasına rağmen ürün bana ulaşmadı.Sürat Kargo’ya yazarak durumu bildirdim; ancak kargom hâlâ ortada yok ve teslim edilmediği halde teslim edilmiş gösterilmesi nedeniyle mağdur oldum. Gönderimin gerçekten kime, nereye teslim edildiğinin araştırılmasını, gerekiyorsa kamera kayıtlarının incelenmesini ve ürünümün ya bana ulaştırılmasını ya da ücret iadesinin yapılmasını talep ediyorum.",https://www.sikayetvar.com/surat-kargo/teslim-edilmeden-teslim-edilmis-gosterilen-kargomun-akibeti-hakkinda-magduriyet
Kargo,Kargom Adrese Teslim Edilmedi Köpekler Dağıttı Firma İlgisiz Ve Saygısız Davrandı,"Nak Kargo’nun İzmir Yunus Emre Mahallesi şubesinden geçen ay Kayseri’ye gönderilmek üzere içinde erzak ve et bulunan bir koli gönderdim. Kargoyu özellikle adrese teslim olması için verdim ancak Kayseri’deki şube adrese teslim yapamayacaklarını söyleyerek teslimatı gerçekleştirmedi. Buna rağmen kargo günlerce bekletildi ve aradan yaklaşık bir ay geçtikten sonra kargonun iade edileceği bilgisi verildi.Daha sonra kargonun köpekler tarafından dağıtıldığını öğrendim. İçinde yaklaşık 5.000 TL değerinde bakliyat ve et bulunan gıdalar tamamen kullanılamaz hale geldi. Üstelik telefonda konuştuğum görevli, “köpek kargoyu dağıtmış, atalım mı” der gibi dalga geçer bir üslupla konuştu. Hem ürünlerim ziyan oldu hem de gıda olduğu için bu şekilde korunmaması ve bu saygısız tavır beni son derece rahatsız etti.Firma ile telefon görüşmesi yaptığımda sorunu çözmek yerine “habire arıyorsunuz” şeklinde ters bir üslupla karşılaştım. Hem kargonun teslim edilmemesi hem de zarar görmesi konusunda hiçbir şekilde sorumluluk alınmadı.Nak Kargo’nun, zarar gören kargomun içeriği olan yaklaşık 5.000 TL’lik erzak ve et bedelini karşılamasını ve bu süreçte yaşanan ilgisizlik, dalga geçer tarzda konuşma ve saygısız tutumla ilgili gerekli incelemenin yapılarak tarafıma geri dönüş sağlanmasını talep ediyorum.",https://www.sikayetvar.com/nak-kargo/kargom-adrese-teslim-edilmedi-kopekler-dagitti-firma-ilgisiz-ve-saygisiz-davrandi
Kargo,Adresime Teslim Edilmeyen Kargo Ve Faturasız Ücret Tahsilatı,"Öz Feda Nakliyat ile yaşadığım kargo sürecinde ciddi mağduriyet yaşadım. Kargom 06.12.2025 tarihinde taşınmasına rağmen adrese getirilmedi, “adresi bulamadık, gel araçtan al” denilerek teslimat yapılmak istenmedi. Şube adresleri de net olmadığı için kargoyu sistemli bir şekilde teslim alma imkanım da olmadı.Ayrıca kargo ücretini de herhangi bir fatura kesmeden tahsil ediyorlar. Bu durum hem şeffaflıktan uzak hem de güven verici değil. Ambar tesellüm fişi numaram a 439690 olup, bu gönderi üzerinden gerekli incelemenin yapılmasını talep ediyorum.Kargomun adresime düzgün şekilde teslim edilmesini ve faturasız ücret tahsilatı konusunda da gerekli denetimlerin yapılarak tarafıma bilgi verilmesini istiyorum.",https://www.sikayetvar.com/oz-feda-nakliyat/adresime-teslim-edilmeyen-kargo-ve-faturasiz-ucret-tahsilati
Kargo,Kırık Gelen Kitaplık Parçası Ve Yetersiz Müşteri Hizmetleri,"IKEA’dan 30.10.2025 tarihinde Billy kitaplıksiparişi verdim, ürün 04.11.2025 tarihinde elime ulaştı.Kargopaketinde herhangi bir hasar görünmüyordu ancak koliyi açtığımızda kenar parçalarından birinin ortadan ikiye kırık olduğunu fark ettik ve hemen ardından talep oluşturduk. Buna rağmen Horoz Nakliyat, kırık parçayı evden almaya ancak 12.11.2025 tarihinde, defalarca aramamız ve uzun uğraşlarımız sonucunda geldi.Kırık parça alındıktan sonra ise iki haftayı aşkın süredir ne bir SMS ne de bir e-posta bilgilendirmesi aldım. On defadan fazlamüşteri hizmetlerini aramama rağmen somut hiçbir yanıt verilmedi, sadece geçiştirilip oyalanıyorum. Talebimin ciddiye alındığını kesinlikle hissetmiyorum. Bir aydır dolap parçaları evimin ortasında duruyor, tek bir parçanın temin edilememesi nedeniyle hem maddi hem manevi anlamda ciddi mağduriyet yaşıyorum. Paramla adeta mağdur oldum. Tüm işlemleri eksiksiz yaptığım halde müşteri hizmetleri sanki hiçbir şeyden haberleri yokmuş gibi konuşuyor. Ne net bir bilgi veriliyor ne de talebimin akıbeti söyleniyor. Böyle büyük bir firmanın bu kadar basit bir süreci bile yönetememesini IKEA’ya hiç yakıştıramadım.IKEA’dan talebim, Billy kitaplığa ait kırık gelen parçanın sağlamının hiçbir gecikme olmadan, acilen tarafıma gönderilmesi ve ürünümü artık kurup kullanabilmem için sürecin şeffaf şekilde tarafıma bildirilmesidir.",https://www.sikayetvar.com/ikea/kirik-gelen-kitaplik-parcasi-ve-yetersiz-musteri-hizmetleri
Kargo,NilGörkem İthalat ve İhracat İlgisizliği,"NilGörkem Nakliyat Konya ile kargolama hizmeti aldım. Gönderim sırasında adres yanlış yazılmış ve bu hata nedeniyle ürünlerim yanlış adrese gönderildi. Durumu firmaya ilettiğimde, yetkili kişi hatasını kabul etmedi ve telefonda bana bağırdı. Ürünlerimin kaybolduğunu da belirttim, ancak hiçbir çözüm sunulmadı ve ilgilenilmedi.Kargo takip numaram: 1zy1248h0454759974. Ödememi havale yoluyla gerçekleştirdim. Yanlış adrese teslimat ve yaşadığım kayıplar nedeniyle ücret iadesi talep ediyorum. Mağduriyetimin en kısa sürede giderilmesini rica ediyorum.",https://www.sikayetvar.com/nilgorkem-ithalat-ve-ihracat/nilgorkemithalat-ve-ihracat-ilgisizligi
Kargo,Kırık Gelen Dolabın İadesi İçin Haftalardır Çözüm Bulamıyorum!,"16 Temmuz’dan bu yana Trendyol üzerinden Mobilique firmasından aldığım dolabın iadesiyle ilgili büyük bir mağduriyet yaşıyorum. Ürün bana Sürat Kargo ile kırık olarak teslim edildi. Hemen fotoğraflarını çekip Trendyol’a bildirdim ve iade sürecini başlattım. Trendyol bana iade kodu verip Horoz Nakliyat’ı aramamı söyledi. Ancak Horoz Nakliyat ile defalarca iletişime geçmeme rağmen, her seferinde “gelip alacağız” gibi oyalayıcı cevaplar aldım ve herhangi bir çözüm sunulmadı.Şu ana kadar 50’den fazla arama yaptım, her seferinde yeni bir kayıt açıldı ve kodların süresi doldu. En son Horoz Nakliyat tarafından verilen kayıt numaram: 5163847. Olay Marmaraereğlisi/Tekirdağ adresinde gerçekleşti. Trendyol ise sadece tekrar tekrar iade kodu vermekten başka bir çözüm sunmadı, Mobilique firmasına ise ulaşamadım.3.452 TL ödeme yaptım ve kırık gelen ürünün bir an önce evimden alınarak iade işleminin tamamlanmasını talep ediyorum. Hakkım olan iade sürecinin bu kadar uzaması ve çözüm sunulmaması nedeniyle mağduriyetimin acilen giderilmesini istiyorum.",https://www.sikayetvar.com/horoz-lojistik/kirik-gelen-dolabin-iadesi-icin-haftalardir-cozum-bulamiyorum
Kargo,Başlık Yok,İçerik çekilemedi,https://www.sikayetvar.com/jebindecom
Kargo,Müşteri Hizmetlerinde Standart Cevaplar Ve Çözüm Eksikliği,"28 Ekim 2025 tarihinde Pazarama üzerinden 379638072 numaralı siparişimle market alışverişi kapsamında bakliyat ürünleri satın aldım. Kargo paketi hasarlı olarak teslim edildi. Öncelikle telefonla müşteri hizmetlerine ulaştım, ardından durumu belgelemek için fotoğrafı e-posta yoluyla ilettim. Ancak müşteri iletişim sistemlerinin tamamen standartlaşmış cevaplar üzerinden yürüdüğünü, şikayetleri alıp geliştirebilecekleri bir yapının olmadığını gördüm. Ayrıca şikayetimi iletebileceğim bir birime de ulaşamadım.Görüşmeler sırasında çalışanların da yaşadığım sorunu satıcı firmaya tam olarak aktaramadıklarını fark ettim. Bu nedenle, kendi girişimlerimle doğrudan firma ile iletişime geçerek sorunu çözmek zorunda kaldım.Benim asıl şikayetim, müşteri temsilcileriyle yapılan görüşmelerin ve süreçlerin iyileştirilmesiyle ilgili. Pazarama firmasından, bu alanda yetkili bir kişiyle doğrudan görüşmek istiyorum. Yaşadığım süreci detaylıca anlatmak ve kayıt altına alınan görüşmelerin incelenmesini talep ediyorum.Sorunum çözülmüş olsa da, müşteri hizmetleriyle iletişime geçtiğimde, süreçlerin iyileştirilmesi adına bir şikayet kaydı oluşturulmasını bekledim. Ancak bunun yerine sadece mevcut kalıpları tekrar ettiler ve herhangi bir çözüm sunmadılar.Beklentim, şikayet ya da kalite biriminden yetkili birinin benimle iletişime geçerek yaşadığım süreci değerlendirmesi ve müşteri hizmetleri süreçlerinde iyileştirme yapılmasıdır.",https://www.sikayetvar.com/pazarama/musteri-hizmetlerinde-standart-cevaplar-ve-cozum-eksikligi
Kargo,Köy Adresine Teslim Edilmeyen Ağır Ürün Mağduriyeti,"21.10.2025 tarihinde Hepsiburada üzerinden satın aldığım döküm sobanın sevkiyatını Borusan Lojistik üstlendi. Teslimat adresim Sinop ili Bektaşağa Köyü olmasına rağmen, Borusan Lojistik adresin köy olması gerekçesiyle ürünü köye getirmedi ve şehir merkezinde yol üzerinde bana teslim etti.Aldığım ürün büyük ve ağır olduğundan dolayı, şehir merkezinden köyüme taşıyabilmek için başka bir nakliyat firmasına 1500 TL ek ücret ödemek zorunda kaldım. Hem alışveriş öncesi hem de sonrası müşteri hizmetleriyle iletişime geçtim, yardımcı olacaklarını belirtmelerine rağmen herhangi bir çözüm sunulmadı ve mağduriyetim giderilmedi.Kargo takip numaram: 9863715.Ödediğim ek ücretin tarafıma iade edilmesini talep ediyorum. Ayrıca, bundan sonra köyde yaşayanlara teslimat yapılmayacaksa sipariş başında bunun belirtilmesini, kabul edilmesi halinde ise ürünlerin mutlaka belirtilen adrese teslim edilmesini istiyorum.",https://www.sikayetvar.com/borusan-lojistik/koy-adresine-teslim-edilmeyen-agir-urun-magduriyeti
